1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
345	-0.828993	4.456273	0.007387	0.371972	1
346	-0.861497	4.082329	0.007498	0.249921	4
347	-0.844361	5.082329	0.007210	0.276697	6
348	-0.844249	6.082328	0.006944	0.235877	2
349	-0.850725	6.396841	0.006864	0.211516	3
350	-0.854575	6.022897	0.006959	0.239412	5
351	-0.840522	5.648952	0.007057	0.163902	2
352	-0.863511	5.285250	0.007154	0.226486	3
353	-0.841811	4.911306	0.007258	0.193875	6
354	-0.850496	4.537361	0.007364	0.230509	1
355	-0.857163	4.163417	0.007473	0.316579	3
356	-0.871769	3.849068	0.007568	0.162127	4
357	-0.853110	3.475124	0.007684	0.146411	3
358	-0.844706	3.101470	0.007803	0.287733	3
359	-0.853729	4.101447	0.007492	0.269937	3
360	-0.858862	3.727503	0.007605	0.243040	3
361	-0.855035	4.727503	0.007310	0.298801	4
362	-0.876953	5.727503	0.007036	0.192611	3
363	-0.847950	5.353558	0.007136	0.246456	2
364	-0.844758	4.979614	0.007239	0.239588	3
365	-0.872399	4.605669	0.007344	0.260742	4
366	-0.854929	5.605662	0.007068	0.302168	2
367	-0.855912	6.605662	0.006812	0.229263	3
368	-0.844413	6.231718	0.006906	0.171997	4
369	-0.858365	6.383727	0.006867	0.172309	3
370	-0.863554	6.009783	0.006963	0.179103	6
371	-0.840476	5.635839	0.007060	0.245096	5
372	-0.859317	5.261895	0.007161	0.247996	3
373	-0.858719	4.887950	0.007264	0.206627	4
374	-0.864606	4.514006	0.007371	0.238480	2
375	-0.841989	4.140062	0.007480	0.211927	2
376	-0.850327	3.766126	0.007593	0.186059	3
377	-0.871354	3.398200	0.007708	0.142986	5
378	-0.834132	3.024255	0.007828	0.157654	5
379	-0.856699	2.759860	0.007915	0.307399	4
380	-0.852014	3.733589	0.007603	0.244905	2
381	-0.862675	4.732779	0.007308	0.214866	5
382	-0.859743	4.358834	0.007416	0.224750	3
383	-0.869889	3.993324	0.007524	0.248626	2
384	-0.844705	3.619380	0.007639	0.288670	2
385	-0.860072	3.245435	0.007756	0.304697	4
386	-0.851994	2.871491	0.007878	0.271531	4
387	-0.860634	2.497546	0.008003	0.162082	5
388	-0.843847	2.123602	0.008133	0.225083	3
389	-0.853185	1.749658	0.008266	0.168047	3
390	-0.869670	1.375797	0.008404	0.125415	5
391	-0.845717	2.336450	0.008058	0.224831	3
392	-0.849896	1.966139	0.008188	0.240707	2
393	-0.855572	1.592195	0.008324	0.182065	4
394	-0.860175	2.170761	0.008116	0.256281	3
395	-0.868921	1.796817	0.008249	0.158126	2
396	-0.836925	1.422872	0.008387	0.177777	4
397	-0.854068	1.048928	0.008529	0.213980	6
398	-0.871779	0.674984	0.008676	0.177580	2
399	-0.851588	0.745483	0.008648	0.279325	4
400	-0.871707	0.371656	0.008799	0.196320	6
401	-0.844423	0.000000	0.008955	0.211139	6
402	-0.846877	0.000000	0.008955	0.195719	2
403	-0.872578	0.000000	0.008955	0.206551	3
404	-0.875811	0.000000	0.008955	0.233580	3
405	-0.852257	0.000000	0.008955	0.220851	5
406	-0.825068	0.972852	0.008559	0.289273	3
407	-0.865938	1.972852	0.008186	0.149472	4
408	-0.847562	1.648028	0.008303	0.331008	3
409	-0.849542	1.274095	0.008443	0.115849	2
410	-0.860002	1.969938	0.008187	0.328352	3
411	-0.857278	1.664138	0.008298	0.192321	3
412	-0.866721	2.650120	0.007952	0.201495	4
413	-0.839893	2.276175	0.008079	0.187899	3
414	-0.845482	3.276175	0.007747	0.258086	3
415	-0.860662	2.902569	0.007868	0.255648	5
416	-0.854467	2.528625	0.007993	0.213274	4
417	-0.845221	2.167315	0.008117	0.211047	2
418	-0.867418	3.126573	0.007795	0.125899	4
419	-0.854607	3.174524	0.007779	0.198708	1
420	-0.864360	4.172068	0.007471	0.235558	1
421	-0.853069	3.840534	0.007571	0.273490	1
422	-0.850284	3.466589	0.007686	0.215363	3
423	-0.842389	3.092645	0.007806	0.248775	3
424	-0.857114	2.718700	0.007929	0.114917	3
425	-0.859131	3.241111	0.007758	0.175534	3
426	-0.856837	4.028145	0.007514	0.193864	5
427	-0.857914	3.654200	0.007628	0.272506	3
428	-0.875870	3.280256	0.007745	0.164158	2
429	-0.857000	2.906612	0.007866	0.200603	5
430	-0.864114	2.532668	0.007991	0.261962	2
431	-0.853902	2.158723	0.008120	0.194938	3
432	-0.843853	1.784779	0.008254	0.224077	5
433	-0.869376	1.410834	0.008391	0.168133	6
434	-0.851724	2.410828	0.008033	0.175998	2
435	-0.863219	2.036918	0.008163	0.179823	4
436	-0.844999	3.036468	0.007824	0.161003	2
437	-0.862630	2.662529	0.007947	0.291127	3
438	-0.854210	2.288585	0.008075	0.158625	4
439	-0.854966	1.914640	0.008207	0.178797	3
440	-0.863909	1.542803	0.008342	0.243524	4
441	-0.849110	2.535116	0.007990	0.226063	6
442	-0.844921	3.504801	0.007674	0.192808	3
443	-0.849951	3.130857	0.007793	0.198556	2
444	-0.867813	2.756969	0.007916	0.147435	2
445	-0.847769	2.396934	0.008038	0.239821	5
446	-0.848513	2.022990	0.008168	0.195497	2
447	-0.832531	1.649045	0.008303	0.174724	3
448	-0.868941	1.404410	0.008394	0.145437	4
449	-0.863170	1.219854	0.008463	0.150392	2
450	-0.853924	0.845928	0.008608	0.196320	3
451	-0.855980	1.845777	0.008232	0.305053	3
452	-0.876507	1.471833	0.008369	0.251266	3
453	-0.852829	1.097889	0.008510	0.173005	4
454	-0.857394	0.723944	0.008657	0.210148	3
455	-0.849532	0.785621	0.008632	0.161920	3
456	-0.859893	0.521513	0.008738	0.227115	3
457	-0.866307	1.412053	0.008391	0.269329	3
458	-0.859643	2.350140	0.008054	0.244265	4
459	-0.864771	2.973191	0.007844	0.185426	4
460	-0.878184	3.973189	0.007530	0.136327	4
461	-0.882802	3.599245	0.007645	0.303129	2
462	-0.855485	4.279321	0.007439	0.236921	3
463	-0.858624	3.920179	0.007546	0.212695	4
464	-0.858291	3.546234	0.007661	0.182528	2
465	-0.858133	3.172290	0.007780	0.271767	4
466	-0.875709	2.798346	0.007902	0.131441	5
467	-0.846414	2.424401	0.008028	0.160668	5
468	-0.868396	2.050516	0.008158	0.225408	5
469	-0.852262	3.005656	0.007834	0.144656	3
470	-0.873449	3.207650	0.007768	0.157287	3
471	-0.858376	2.833821	0.007890	0.282267	4
472	-0.881474	2.459877	0.008016	0.166543	2
473	-0.868553	3.459877	0.007688	0.222229	1
474	-0.873733	3.907329	0.007550	0.133735	3
475	-0.862756	4.038752	0.007511	0.249857	5
476	-0.858515	5.038752	0.007222	0.126583	6
477	-0.875238	4.664807	0.007327	0.191063	3
478	-0.836860	4.290961	0.007436	0.151443	3
479	-0.864886	3.918090	0.007547	0.241013	4
480	-0.856195	4.151198	0.007477	0.279134	4
481	-0.855360	3.777253	0.007590	0.246327	1
482	-0.878732	3.403309	0.007706	0.163801	2
483	-0.880241	3.029364	0.007826	0.117870	2
484	-0.875504	2.861083	0.007881	0.114236	3
485	-0.859627	3.654368	0.007628	0.183694	5
486	-0.848819	3.280529	0.007745	0.251942	5
487	-0.859444	2.906585	0.007866	0.246723	2
488	-0.871202	2.532655	0.007991	0.215144	5
489	-0.840478	2.158710	0.008120	0.132271	2
490	-0.851844	1.785109	0.008253	0.196528	4
491	-0.859980	2.621896	0.007961	0.290561	4
492	-0.856471	2.248494	0.008089	0.263059	2
493	-0.863473	1.874565	0.008221	0.191600	4
494	-0.855119	1.500621	0.008358	0.185014	4
495	-0.877231	1.127165	0.008499	0.129738	5
496	-0.864415	1.752089	0.008265	0.171230	6
497	-0.855801	2.346018	0.008055	0.141472	2
498	-0.864713	3.085660	0.007808	0.195921	5
499	-0.866387	2.711715	0.007931	0.161242	3
