1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
649	-0.758724	-0.764028	0.026520	18.313423	0.362288	0.112965	0.010524	0.112887	6	59	66
650	-0.786738	-0.792219	0.027404	19.313423	0.353301	0.124969	0.010951	0.124972	6	51	58
651	-0.764393	-0.769709	0.026581	18.361922	0.361841	0.117956	0.010596	0.117615	6	61	68
652	-0.812250	-0.817668	0.027094	19.361922	0.352876	0.100862	0.010870	0.100899	6	47	55
653	-0.815994	-0.821454	0.027300	20.361900	0.344345	0.099430	0.010882	0.099306	10	48	58
654	-0.777219	-0.782546	0.026634	19.410400	0.352453	0.100141	0.010589	0.100048	7	51	58
655	-0.751872	-0.757259	0.026935	18.458899	0.360952	0.105988	0.010798	0.105880	12	56	69
656	-0.758671	-0.764062	0.026954	17.507399	0.369871	0.123612	0.010662	0.123698	12	59	73
657	-0.754752	-0.760171	0.027094	18.507399	0.360509	0.118358	0.010939	0.118353	6	46	53
658	-0.758984	-0.764250	0.026326	17.558636	0.369379	0.087416	0.010517	0.087344	8	64	72
659	-0.764156	-0.769367	0.026053	16.607135	0.378725	0.093597	0.010297	0.093789	12	57	70
660	-0.768078	-0.773508	0.027149	17.607127	0.368915	0.107598	0.010757	0.107471	11	56	67
661	-0.780721	-0.786142	0.027103	18.607127	0.359601	0.110062	0.010793	0.110040	14	79	94
662	-0.767320	-0.772720	0.026998	17.655635	0.368452	0.101003	0.010833	0.100914	7	61	68
663	-0.807882	-0.813317	0.027174	16.704135	0.377751	0.102403	0.010842	0.102217	6	46	53
664	-0.755420	-0.761018	0.027990	17.704135	0.367991	0.114279	0.011251	0.114069	6	50	58
665	-0.764130	-0.769517	0.026940	16.752641	0.377265	0.114891	0.010711	0.114731	7	43	50
666	-0.767750	-0.773141	0.026959	15.801152	0.387020	0.107877	0.010619	0.107872	6	51	58
667	-0.798957	-0.804300	0.026713	16.777658	0.377016	0.106209	0.010631	0.106140	7	44	52
668	-0.785839	-0.791249	0.027052	15.826159	0.386757	0.096268	0.010779	0.096378	7	53	61
669	-0.758654	-0.764146	0.027461	16.826156	0.376532	0.097782	0.010856	0.097918	6	42	50
670	-0.752445	-0.757750	0.026526	15.874657	0.386248	0.092054	0.010451	0.092009	7	51	58
671	-0.777939	-0.783393	0.027270	16.872228	0.376074	0.111448	0.010969	0.111255	6	42	50
672	-0.757292	-0.762721	0.027148	15.920728	0.385766	0.114455	0.010729	0.114365	6	57	63
673	-0.795919	-0.801412	0.027463	14.969227	0.395971	0.109064	0.010942	0.109158	12	104	118
674	-0.803244	-0.808788	0.027723	15.969227	0.385260	0.114039	0.011074	0.114085	15	114	130
675	-0.789543	-0.795214	0.028356	16.969227	0.375113	0.099377	0.011348	0.099047	18	74	94
676	-0.730768	-0.736317	0.027743	16.030095	0.384627	0.097929	0.011055	0.097711	15	88	104
677	-0.773055	-0.778435	0.026898	16.920992	0.375591	0.122642	0.010684	0.122601	18	104	124
678	-0.775863	-0.781374	0.027557	15.969492	0.385257	0.088762	0.011001	0.088530	13	113	126
679	-0.774296	-0.779732	0.027179	15.017991	0.395435	0.093468	0.010876	0.093242	10	59	70
680	-0.742444	-0.747895	0.027254	16.017276	0.384760	0.096483	0.010809	0.096190	7	60	69
681	-0.753977	-0.759482	0.027528	15.065788	0.394911	0.109563	0.010957	0.109391	26	60	86
682	-0.742192	-0.747820	0.028141	14.117270	0.405577	0.117278	0.011190	0.116996	6	57	65
683	-0.773929	-0.779254	0.026624	13.169076	0.416832	0.085352	0.010613	0.085314	9	49	59
684	-0.772120	-0.777547	0.027131	14.169076	0.404980	0.113204	0.010729	0.112952	22	82	105
685	-0.801116	-0.806751	0.028172	15.168126	0.393793	0.093537	0.011345	0.093488	9	70	80
686	-0.781874	-0.787306	0.027159	14.216626	0.404433	0.116055	0.010850	0.115951	10	117	129
687	-0.760821	-0.766364	0.027713	15.216626	0.393266	0.111978	0.010946	0.111972	36	83	119
688	-0.782050	-0.787434	0.026917	14.265126	0.403877	0.107231	0.010593	0.107134	13	112	127
689	-0.790464	-0.796124	0.028301	15.265125	0.392740	0.111328	0.011334	0.111140	12	124	138
690	-0.781172	-0.786670	0.027491	14.313624	0.403322	0.091915	0.010906	0.091856	60	189	250
691	-0.779899	-0.785332	0.027164	13.383183	0.414236	0.098960	0.010646	0.098948	21	144	167
692	-0.758945	-0.764500	0.027779	14.383181	0.402529	0.091116	0.010940	0.091138	13	122	139
693	-0.736175	-0.741575	0.027000	15.383177	0.391466	0.096528	0.010685	0.096509	24	181	205
694	-0.750070	-0.755461	0.026957	14.446499	0.401810	0.101573	0.010555	0.101626	33	124	160
695	-0.764105	-0.769568	0.027318	14.410941	0.402214	0.097259	0.010876	0.096946	32	113	145
696	-0.772879	-0.778383	0.027520	15.410941	0.391167	0.132678	0.010878	0.132403	21	91	112
697	-0.788498	-0.794207	0.028546	14.459441	0.401664	0.100219	0.011319	0.100017	26	81	109
698	-0.795303	-0.800653	0.026749	15.457140	0.390671	0.108340	0.010605	0.108189	9	119	129
699	-0.767792	-0.773445	0.028265	14.505639	0.401141	0.099258	0.011139	0.099092	13	75	89
700	-0.763392	-0.768992	0.028001	15.457515	0.390667	0.101558	0.011220	0.101550	22	100	124
701	-0.766944	-0.772401	0.027288	14.541002	0.400742	0.103492	0.010716	0.103367	27	124	152
702	-0.770906	-0.776555	0.028247	15.541002	0.389775	0.110748	0.011288	0.110677	24	116	141
703	-0.745973	-0.751491	0.027592	16.541002	0.379392	0.089176	0.010910	0.089008	31	91	123
704	-0.793296	-0.798898	0.028013	17.541002	0.369548	0.113841	0.011093	0.113980	31	139	172
705	-0.776871	-0.782393	0.027612	16.999943	0.374810	0.110558	0.010795	0.110431	46	82	128
706	-0.725130	-0.730604	0.027366	17.999943	0.365200	0.093570	0.010762	0.093416	13	78	92
707	-0.746835	-0.752192	0.026786	18.999933	0.356070	0.110312	0.010634	0.110260	12	167	180
708	-0.735561	-0.741107	0.027733	19.999932	0.347385	0.113375	0.010924	0.113428	14	88	102
709	-0.772022	-0.777528	0.027529	20.999932	0.339114	0.109186	0.010948	0.109276	22	187	210
710	-0.816255	-0.821953	0.028490	21.999932	0.331228	0.105904	0.011187	0.105563	130	186	316
711	-0.777922	-0.783384	0.027308	21.048432	0.338723	0.121709	0.010662	0.121688	30	153	184
712	-0.782976	-0.788581	0.028028	20.958579	0.339448	0.118773	0.011085	0.118530	10	172	183
713	-0.767701	-0.773294	0.027963	20.007078	0.347325	0.101061	0.011011	0.100852	34	121	156
714	-0.775647	-0.781145	0.027492	21.006932	0.339057	0.118376	0.010721	0.118281	9	170	180
715	-0.818297	-0.824118	0.029106	22.006912	0.331174	0.108940	0.011453	0.108822	13	115	148
716	-0.774542	-0.780058	0.027580	21.055431	0.338666	0.105933	0.010755	0.105594	27	93	121
717	-0.760173	-0.765720	0.027733	20.104012	0.346505	0.116105	0.010947	0.116311	27	54	81
718	-0.760811	-0.766427	0.028083	20.066254	0.346824	0.108877	0.011086	0.108638	7	42	50
719	-0.798885	-0.804631	0.028729	19.114753	0.355051	0.106358	0.011376	0.106645	6	48	55
720	-0.746476	-0.751920	0.027219	20.114259	0.346419	0.108376	0.010573	0.108099	7	41	48
721	-0.774344	-0.779809	0.027321	21.114259	0.338193	0.095297	0.010786	0.095097	7	44	51
722	-0.778122	-0.783901	0.028890	20.162760	0.346011	0.103625	0.011227	0.103471	7	42	50
723	-0.748698	-0.754283	0.027923	21.162760	0.337804	0.106154	0.010986	0.105839	6	42	49
724	-0.747550	-0.753091	0.027705	20.789644	0.340820	0.095380	0.010823	0.095345	10	43	54
725	-0.763620	-0.769434	0.029071	19.872056	0.348472	0.101000	0.011364	0.100824	6	43	50
726	-0.800946	-0.806792	0.029231	20.872056	0.340150	0.109999	0.011653	0.109786	9	45	55
727	-0.793790	-0.799404	0.028070	19.920656	0.348058	0.106182	0.010918	0.106055	7	41	50
728	-0.754479	-0.760227	0.028739	18.969156	0.356344	0.095045	0.011317	0.095067	7	52	59
729	-0.762678	-0.768232	0.027773	19.969141	0.347646	0.107464	0.010763	0.107400	6	43	51
730	-0.762085	-0.767744	0.028294	20.969141	0.339363	0.123282	0.011253	0.122932	6	49	55
731	-0.777777	-0.783465	0.028441	21.969141	0.331465	0.108812	0.011201	0.108693	6	41	49
